,bType,pType,ranges,PA,AB,H,BB,1B,2B,3B,HR,R,K,SF,DP,Adv 2nd,SA,SB,AVG,OBP,ER6,,,,,
46,All,TD,OLD,410459,374562,101104,30911,43384,29828,12317,15575,54134,53449,4986,8903,5152,32705,20346,0.26992594,0.321627739,3.24804,,Old,High,Low,Avg
73,All,TD,OLD,410217,374197,100845,31154,43305,29867,12234,15439,53899,53018,4866,9118,5153,32531,20194,0.269497083,0.321778473,3.23394,,,3.250,3.205,3.231
100,All,TD,OLD,410595,374468,101045,31284,43001,30070,12399,15575,54171,53644,4843,8946,5122,32616,20157,0.269836141,0.322285951,3.25026,,-,-,-,-
127,All,TD,OLD,409756,374034,100300,30919,43107,29670,12142,15381,53417,53351,4803,8930,5119,32450,20240,0.26815744,0.320236921,3.20502,,-,-,-,-
153,All,TT,NEW,407793,363035,83308,43096,31264,18192,4046,29806,56076,136157,1662,5954,2844,33305,20648,0.229476497,0.30997099,3.36456,,New,High,Low,Avg
180,All,TT,NEW,408576,364013,84076,42928,31409,18462,4084,30121,56963,136809,1635,5711,2884,33807,21090,0.230969773,0.310845473,3.41778,,,3.418,3.365,3.389
207,All,TT,NEW,408407,363542,83860,43238,31282,18452,4122,30004,56744,136138,1627,5955,2889,33634,20898,0.23067486,0.311204264,3.40464,,,,,
234,All,TT,NEW,407869,363062,83244,43197,31053,18218,3971,30002,56316,136719,1610,5939,2859,33504,20871,0.229283153,0.310003947,3.37896,,Diffs,0.014,0.013,0.014
261,All,TT,NEW,407867,362592,83089,43665,31248,18010,4023,29808,56316,136274,1610,5986,2836,33914,21013,0.229152877,0.310772874,3.37896,,,,,
18,All,TT,OLD,408292,363534,83416,43138,31157,18255,4165,29839,56380,136476,1620,5680,2512,33217,20823,0.229458593,0.309959539,3.3828,,,,,
45,All,TT,OLD,408626,363684,83893,43222,31299,18391,4121,30082,57053,136076,1720,5649,2443,33746,21088,0.230675532,0.31107908,3.42318,,Old,High,Low,Avg
72,All,TT,OLD,408518,363530,83668,43222,31200,18482,4047,29939,56687,136363,1766,5642,2490,33337,20829,0.23015432,0.310610548,3.40122,,,3.431,3.377,3.403
99,All,TT,OLD,408857,363747,83856,43445,31181,18292,4111,30272,57191,135864,1665,5762,2438,33008,20538,0.23053386,0.31135825,3.43146,,-,-,-,-
126,All,TT,OLD,408231,363154,83282,43443,31149,18304,4020,29809,56289,136411,1634,5666,2521,33366,20759,0.229329706,0.310424735,3.37734,,-,-,-,-
158,All,WC,NEW,411394,379260,100357,29729,44783,31906,4847,18821,53172,46804,2405,5940,3717,34255,21503,0.264612667,0.31620782,3.19032,,New,High,Low,Avg
185,All,WC,NEW,410680,378663,99849,29717,44761,31409,4799,18880,52621,46841,2300,5873,3721,34455,21442,0.263688293,0.31549138,3.15726,,,3.190,3.157,3.170
212,All,WC,NEW,410688,379037,100233,29349,44936,31707,4946,18644,52736,47033,2302,5956,3852,34466,21528,0.264441202,0.315524194,3.16416,,,,,
239,All,WC,NEW,410471,378682,99769,29430,44675,31349,4905,18840,52900,47142,2359,5801,3779,34402,21475,0.263463803,0.314757924,3.174,,Diffs,0.028,0.026,0.022
266,All,WC,NEW,410939,378859,99713,29627,44377,31614,4962,18760,52777,47079,2453,5722,3790,34164,21485,0.263192903,0.314742577,3.16662,,,,,
23,All,WC,OLD,410405,378162,99368,29781,44416,31487,4910,18555,52504,46674,2462,5721,3383,33645,20858,0.262765693,0.314686712,3.15024,,,,,
50,All,WC,OLD,410498,378631,99516,29504,44567,31431,4836,18682,52604,46781,2363,5680,3329,33599,20978,0.262831094,0.314301166,3.15624,,Old,High,Low,Avg
77,All,WC,OLD,410215,378355,99338,29445,44506,31542,4873,18417,52365,46838,2415,5642,3463,33797,21081,0.262552365,0.313940251,3.1419,,,3.162,3.131,3.148
104,All,WC,OLD,409746,378088,99209,29352,44193,31509,4879,18628,52191,46834,2306,5732,3333,33603,20732,0.262396585,0.313757791,3.13146,,-,-,-,-
131,All,WC,OLD,410916,378918,99840,29578,44886,31379,4964,18611,52702,47236,2420,5670,3288,33906,21245,0.263487087,0.314950014,3.16212,,-,-,-,-
137,BC,All,NEW,417815,379247,113706,33960,67673,26031,5366,14636,55513,58360,4608,10939,5975,47319,28407,0.299820434,0.353424362,3.33078,,New,High,Low,Avg
